연번,도로명,설치장소,설치 장소 유형,수거 쓰레기 종류,형태,위도,경도
1,자하문로,자하문로1길 12,상가지역,담배꽁초,담배꽁초 수거함,37.5765639,126.971723
2,자하문로,자하문로1길 50-1,상가지역,담배꽁초,담배꽁초 수거함,37.5769959,126.969651
3,자하문로,자하문로1길 34,상가지역,담배꽁초,담배꽁초 수거함,37.5765997,126.970534
4,자하문로,자하문로1길 49-4,상가지역,담배꽁초,담배꽁초 수거함,37.5767526,126.969527
5,자하문로,자하문로1길 33,상가지역,담배꽁초,담배꽁초 수거함,37.5764645,126.970376
6,자하문로,자하문로1길 33,상가지역,담배꽁초,담배꽁초 수거함,37.5764645,126.970376
7,자하문로,자하문로1길 21,상가지역,담배꽁초,담배꽁초 수거함,37.5763566,126.971168
8,자하문로,자하문로1길 5,상가지역,담배꽁초,담배꽁초 수거함,37.5764379,126.972131
9,자하문로,자하문로1길 3,상가지역,담배꽁초,담배꽁초 수거함,37.5764379,126.972131
10,자하문로,자하문로 39,상가지역,담배꽁초,담배꽁초 수거함,37.579555,126.971077
11,자하문로,자하문로 2,상가지역,담배꽁초,담배꽁초 수거함,37.5763389,126.972708
12,자하문로,자하문로1길 32,상가지역,담배꽁초,담배꽁초 수거함,37.5765456,126.970614
13,필운대로,필운대로 9-2,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,37.5771489,126.969096
14,통일로,통일로16길 3,상가지역,담배꽁초,담배꽁초 수거함,37.5755953,126.957064
15,종로 ,종로 1 교보생명 앞,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,37.5709431,126.977906
16,종로,종로 1 교보생명 앞,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,37.5709431,126.977906
17,청계천로,청계천로 35,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,37.5693851,126.981347
18,서순라길,서순라길 3,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,37.5707921,126.993697
19,서순라길,서순라길 7,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,37.5710353,126.993685
20,수표로,종로3가 2-1,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,37.5704944,126.98952
21,돈화문로,돈화문로 32-1,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,37.5714677,126.992089
22,돈화문로,돈화문로 35,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,37.5715668,126.991636
